img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/2407712ccc.jpg,NBA 2K7,PS2,Sports,2K Sports,Visual Concepts,8.2,0.78,0.65,,0.02,0.11,25-09-2006,
/games/boxart/full_dj-hero-2_7AmericaFront.jpg,DJ Hero 2,PS3,Misc,Activision,FreeStyle Games,8.4,0.78,0.49,,0.19,0.1,19-10-2010,
/games/boxart/full_4323874AmericaFrontccc.jpg,Buzz! The Hollywood Quiz,PS2,Misc,Sony Computer Entertainment,Relentless Software,,0.78,0.17,,0,0.61,11-03-2008,
/games/boxart/full_1188331AmericaFrontccc.jpg,DJ Hero,Wii,Misc,Activision,FreeStyleGames,8.6,0.78,0.47,,0.23,0.08,27-10-2009,
/games/boxart/full_6377552AmericaFrontccc.png,Rare Replay,XOne,Misc,Microsoft Studios,Rare Ltd.,,0.78,0.42,0.01,0.27,0.07,04-08-2015,25-09-2018
/games/boxart/full_4874922AmericaFrontccc.jpg,NBA ShootOut 98,PS,Sports,Sony Computer Entertainment,Sony Interactive Studios America,,0.78,0.43,,0.29,0.05,28-02-1998,
/games/boxart/9145275ccc.jpg,Too Human,X360,Role-Playing,Microsoft Game Studios,Silicon Knights,6.5,0.78,0.38,0.03,0.3,0.08,19-08-2008,
/games/boxart/full_7972391JapanFrontccc.jpg,Torneko no Daibouken: Fushigi no Dungeon,SNES,Role-Playing,ChunSoft,ChunSoft,,0.78,,0.78,,,19-09-1993,
/games/boxart/full_1706931AmericaFrontccc.png,Mass Effect: Andromeda,XOne,Role-Playing,Electronic Arts,BioWare Corp.,,0.78,0.5,,0.2,0.07,21-03-2017,03-07-2018
/games/boxart/full_5218171AmericaFrontccc.jpg,Secret Agent Barbie: Royal Jewels Mission,GBA,Platform,VU Games,Digital Illusions,,0.78,0.56,,0.21,0.01,08-10-2002,
/games/boxart/full_rayman-origins_198AmericaFront.jpg,Rayman Origins,X360,Platform,Ubisoft,Ubisoft,9,0.78,0.38,,0.32,0.08,15-11-2011,
/games/boxart/full_8111942AmericaFrontccc.jpg,Marvel vs. Capcom: Clash of Super Heroes,PS,Fighting,Capcom,Capcom,,0.78,0.43,,0.3,0.05,27-01-2000,
/games/boxart/7083186ccc.jpg,Jr. Pac-Man,2600,Puzzle,Atari,General Entertainment,,0.78,0.72,,0.05,0.01,01-01-1984,
/games/boxart/full_9760116AmericaFrontccc.jpg,Doom,PS,Shooter,GT Interactive,Williams Entertainment Inc.,,0.78,0.43,,0.3,0.05,16-11-1995,
/games/boxart/full_9613595AmericaFrontccc.jpg,Aliens: Colonial Marines,X360,Shooter,Sega,Gearbox Software,,0.78,0.36,,0.35,0.07,12-02-2013,30-01-2019
/games/boxart/6995487ccc.jpg,Yars' Revenge,2600,Shooter,Atari,Atari,,0.78,0.73,,0.04,0.01,01-05-1982,
/games/boxart/full_878335AmericaFrontccc.jpg,Destiny: The Collection,PS4,Shooter,Activision,Bungie,,0.78,0.24,0.02,0.4,0.12,19-09-2016,14-09-2018
/games/boxart/full_2004103AmericaFrontccc.jpg,Sid Meier's Civilization Revolution,PS3,Strategy,2K Games,Firaxis Games,8.4,0.78,0.49,0.01,0.19,0.09,08-07-2008,
/games/boxart/full_3585957AmericaFrontccc.jpg,LEGO Jurassic World,XOne,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,,0.78,0.44,,0.27,0.07,12-06-2015,06-04-2018
/games/boxart/full_star-wars-the-force-unleashed-ii_8AmericaFront.jpg,Star Wars: The Force Unleashed II,Wii,Action,LucasArts,LucasArts,7.5,0.78,0.53,,0.19,0.06,26-10-2010,
/games/boxart/768713ccc.jpg,Star Wars The Clone Wars: Jedi Alliance,DS,Action,LucasArts,Krome Studios,,0.78,0.61,,0.11,0.06,11-11-2008,
/games/boxart/9620325ccc.jpg,Tom Clancy's Splinter Cell: Double Agent,X360,Action,Ubisoft,Ubisoft Shanghai,8.5,0.78,0.67,0.01,0.04,0.06,17-10-2006,
/games/boxart/4372527ccc.jpg,Conflict: Desert Storm II - Back to Bagdhad,PS2,Shooter,Gotham Games,Pivotal Games,,0.77,0.38,,0.29,0.1,08-10-2003,
/games/boxart/full_9475087AmericaFrontccc.png,Battlefield 1,PC,Shooter,Electronic Arts,EA DICE,9.1,0.77,0.3,,0.41,0.06,21-10-2016,
/games/boxart/full_2897673AmericaFrontccc.jpg,Tetris Party Deluxe,DS,Puzzle,Majesco,"Tetris Online, Inc",,0.77,0.28,0.12,0.3,0.07,01-06-2010,
/games/boxart/103002ccc.jpg,Ghost Squad,Wii,Shooter,Sega,Polygon Magic,7,0.77,0.42,0.08,0.21,0.07,20-11-2007,
/games/boxart/full_8181528AmericaFrontccc.png,Star Wars Battlefront: Elite Squadron,PSP,Shooter,LucasArts,Savage Entertainment,6,0.77,0.38,,0.24,0.16,03-11-2009,
/games/boxart/full_627786AmericaFrontccc.jpg,Puzzler World,DS,Puzzle,Atari,Idea Pad,,0.77,0.41,,0.3,0.07,08-12-2009,
/games/boxart/full_3082754AmericaFrontccc.jpg,Star Wars Episode II: Attack of the Clones,GBA,Action,THQ,David A. Palmer Productions,,0.77,0.55,,0.2,0.01,30-05-2002,
/games/boxart/full_9598824AmericaFrontccc.jpg,Sonic & SEGA All-Stars Racing with Banjo-Kazooie,X360,Racing,Sega,Sumo Digital,7.7,0.77,0.37,,0.32,0.07,23-02-2010,
